episode,step,total_waiting_time,total_queue_length,avg_loss
19,0,0.0,0,299036808.0
19,100,22.0,2,552283037.92
19,200,127.0,7,565257019.84
19,300,34.0,3,476928014.24
19,400,130.0,6,366276902.04
19,500,52.0,9,530641571.5
19,600,431.0,9,460265071.34
19,700,1178.0,17,458665209.56
19,800,2987.0,27,413755623.98
19,900,5357.0,26,449581949.22
19,1000,8068.0,29,445535378.1
19,1100,11104.0,34,479773940.14
19,1200,14851.0,42,428619297.4
19,1300,19510.0,49,549354719.36
19,1400,24735.0,56,422080248.04
19,1500,30491.0,58,383362523.64
19,1600,36318.0,59,402731843.2
19,1700,42452.0,64,463098065.36
19,1800,49113.0,69,501877681.48
19,1900,56117.0,72,386978565.02
19,2000,63431.0,74,407578119.72
19,2100,70982.0,77,429080582.26
19,2200,78819.0,79,560207212.78
19,2300,86945.0,82,593268556.06
19,2400,95145.0,82,451128450.58
19,2500,103436.0,83,558749114.9
19,2600,111797.0,84,436000698.3
19,2700,120275.0,85,451734159.2
19,2800,128950.0,89,419737135.46
19,2900,137934.0,92,499726952.4
19,3000,147519.0,98,430492106.7
19,3100,157443.0,100,488308974.18
19,3200,167542.0,102,483733442.58
19,3300,177823.0,104,583841526.02
19,3400,188223.0,104,462347169.52
19,3500,198713.0,106,474743382.06
20,0,0.0,0,649670360.0
20,100,29.0,2,508993460.9
20,200,113.0,6,469658986.88
20,300,54.0,5,497662258.7
20,400,215.0,10,394420405.16
20,500,481.0,11,511779791.46
20,600,1720.0,17,404444352.12
20,700,3685.0,26,560802461.88
20,800,6966.0,39,417309617.8
20,900,10672.0,40,488528992.32
20,1000,14743.0,43,448721441.3
20,1100,19177.0,48,503125987.4
20,1200,24323.0,56,490110250.68
20,1300,30326.0,63,411631983.08
20,1400,36962.0,70,447000580.16
20,1500,44119.0,72,403799612.0
20,1600,51347.0,73,599453077.98
20,1700,58895.0,78,657686456.48
20,1800,66971.0,83,436163448.28
20,1900,75382.0,86,501288650.16
20,2000,84098.0,88,446576333.4
20,2100,93045.0,91,405062163.18
20,2200,102186.0,92,462406914.96
20,2300,111617.0,95,453912157.54
20,2400,121117.0,95,523394345.9
20,2500,130711.0,96,456122950.94
20,2600,140375.0,97,411751537.2
20,2700,150155.0,98,500310281.24
20,2800,160135.0,102,588535493.59
20,2900,170435.0,106,554564776.24
20,3000,181160.0,109,496419215.16
20,3100,192084.0,110,601639528.32
20,3200,203100.0,111,544478314.245
20,3300,214283.0,113,516033944.72
20,3400,225583.0,113,575811041.36
20,3500,236951.0,114,481450491.58
21,0,0.0,0,660538560.0
21,100,22.0,2,552765006.86
21,200,125.0,6,421025181.48
21,300,86.0,9,545528793.12
21,400,30.0,3,505794710.84
21,500,135.0,6,478234125.94
21,600,533.0,11,612567128.02
21,700,1545.0,21,609005009.72
21,800,3987.0,36,488977790.62
21,900,7616.0,38,569774941.64
21,1000,11490.0,41,576577499.88
21,1100,15723.0,46,587221165.4
21,1200,20664.0,54,558152107.04
21,1300,26527.0,61,403470532.5
21,1400,32882.0,67,520291274.98
21,1500,39741.0,69,503558499.24
21,1600,46670.0,70,509423293.04
21,1700,53913.0,75,440472493.02
21,1800,61683.0,80,516939449.46
21,1900,69794.0,83,513323877.2
21,2000,78211.0,85,529392375.23
21,2100,86855.0,88,636034115.48
21,2200,95697.0,89,522208438.37
21,2300,104827.0,92,507119939.4
21,2400,114027.0,92,515024078.68
21,2500,123320.0,93,475661092.16
21,2600,132682.0,94,545394865.78
21,2700,142162.0,95,519369706.72
21,2800,151841.0,99,465724080.28
21,2900,161833.0,103,480514328.66
21,3000,172337.0,107,627758925.96
21,3100,183058.0,108,727486056.28
21,3200,193874.0,109,541824839.32
21,3300,204837.0,110,741986757.94
21,3400,215857.0,111,628762320.96
21,3500,227047.0,113,627532815.62
22,0,0.0,0,592282816.0
22,100,23.0,2,531643329.18
22,200,81.0,5,492684976.64
22,300,93.0,6,508381178.4
22,400,130.0,5,700071585.36
22,500,57.0,6,855011020.88
22,600,507.0,11,663331769.84
22,700,1800.0,21,686917894.12
22,800,4266.0,32,448141842.46
22,900,7092.0,30,560104604.82
22,1000,10199.0,33,482919253.82
22,1100,13637.0,37,667797149.72
22,1200,17811.0,46,465992597.38
22,1300,22865.0,52,443300549.12
22,1400,28314.0,58,678429451.3
22,1500,34269.0,60,539916517.16
22,1600,40297.0,61,591570441.98
22,1700,46636.0,66,591324577.34
22,1800,53500.0,71,583004268.56
22,1900,60706.0,74,513146371.42
22,2000,68221.0,76,550804934.01
22,2100,75965.0,78,567696682.98
22,2200,81540.0,79,796297334.96
22,2300,89663.0,82,630875341.68
22,2400,97863.0,82,470297661.2
22,2500,106153.0,83,652313491.08
22,2600,114515.0,84,632176755.12
22,2700,122993.0,85,487509524.06
22,2800,131668.0,89,556690566.52
22,2900,140655.0,93,470417312.8
22,3000,150248.0,99,461963049.44
22,3100,160175.0,100,527583143.32
22,3200,170189.0,101,587489752.3
22,3300,180370.0,103,484646613.74
22,3400,190716.0,105,509326389.33
22,3500,201307.0,107,610903101.66
